Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.57.45";"ЯЛК: -12 В на 57, наблюдение 45";650.75;"код";645.25;655.25;"НОРМА";"baseline_code=650.250000; current_code=650.750000; delta_code=0.500000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=45; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.46";"ЯЛК: -12 В на 57, наблюдение 46";652.5;"код";647.5;657.5;"НОРМА";"baseline_code=652.500000; current_code=652.500000; delta_code=0.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=46; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.47";"ЯЛК: -12 В на 57, наблюдение 47";648.25;"код";642.5;652.5;"НОРМА";"baseline_code=647.500000; current_code=648.250000; delta_code=0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=47; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.48";"ЯЛК: -12 В на 57, наблюдение 48";662.5;"код";657.75;667.75;"НОРМА";"baseline_code=662.750000; current_code=662.500000; delta_code=-0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=48; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.49";"ЯЛК: -12 В на 57, наблюдение 49";668.5;"код";663.25;673.25;"НОРМА";"baseline_code=668.250000; current_code=668.500000; delta_code=0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=49; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.50";"ЯЛК: -12 В на 57, наблюдение 50";676.75;"код";671.75;681.75;"НОРМА";"baseline_code=676.750000; current_code=676.750000; delta_code=0.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=50; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.51";"ЯЛК: -12 В на 57, наблюдение 51";682.75;"код";677.75;687.75;"НОРМА";"baseline_code=682.750000; current_code=682.750000; delta_code=0.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=51; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.52";"ЯЛК: -12 В на 57, наблюдение 52";689.25;"код";683.75;693.75;"НОРМА";"baseline_code=688.750000; current_code=689.250000; delta_code=0.500000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=52; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.53";"ЯЛК: -12 В на 57, наблюдение 53";698.25;"код";693.5;703.5;"НОРМА";"baseline_code=698.500000; current_code=698.250000; delta_code=-0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=53; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.54";"ЯЛК: -12 В на 57, наблюдение 54";698.75;"код";694;704;"НОРМА";"baseline_code=699.000000; current_code=698.750000; delta_code=-0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=54; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
