Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_initial";"ubsi.yalk.initial.21";"ЯЛК адрес 21: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=21; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.21";"ЯЛК адрес 21: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.22";"ЯЛК адрес 22: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=22; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.22";"ЯЛК адрес 22: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.23";"ЯЛК адрес 23: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=23; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.23";"ЯЛК адрес 23: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.24";"ЯЛК адрес 24: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=24; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.24";"ЯЛК адрес 24: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.25";"ЯЛК адрес 25: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=25; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.25";"ЯЛК адрес 25: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.26";"ЯЛК адрес 26: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=26; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.26";"ЯЛК адрес 26: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.27";"ЯЛК адрес 27: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=27; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.27";"ЯЛК адрес 27: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.28";"ЯЛК адрес 28: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=28; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.28";"ЯЛК адрес 28: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.32";"ЯЛК адрес 32: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=32; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.32";"ЯЛК адрес 32: исходный сигнал";1;"лог.";1;1;"OK";""
