Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.34.15";"ЯЛК: -12 В на 34, наблюдение 15";466.25;"код";461.75;471.75;"НОРМА";"baseline_code=466.750000; current_code=466.250000; delta_code=-0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=15; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.16";"ЯЛК: -12 В на 34, наблюдение 16";466;"код";461.5;471.5;"НОРМА";"baseline_code=466.500000; current_code=466.000000; delta_code=-0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=16; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.17";"ЯЛК: -12 В на 34, наблюдение 17";460.75;"код";456;466;"НОРМА";"baseline_code=461.000000; current_code=460.750000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=17; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.18";"ЯЛК: -12 В на 34, наблюдение 18";482.25;"код";476;486;"НОРМА";"baseline_code=481.000000; current_code=482.250000; delta_code=1.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=18; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.19";"ЯЛК: -12 В на 34, наблюдение 19";479;"код";472.75;482.75;"НОРМА";"baseline_code=477.750000; current_code=479.000000; delta_code=1.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=19; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.20";"ЯЛК: -12 В на 34, наблюдение 20";491;"код";486.5;496.5;"НОРМА";"baseline_code=491.500000; current_code=491.000000; delta_code=-0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=20; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.21";"ЯЛК: -12 В на 34, наблюдение 21";483.25;"код";478.75;488.75;"НОРМА";"baseline_code=483.750000; current_code=483.250000; delta_code=-0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=21; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.22";"ЯЛК: -12 В на 34, наблюдение 22";510.5;"код";505.75;515.75;"НОРМА";"baseline_code=510.750000; current_code=510.500000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=22; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.23";"ЯЛК: -12 В на 34, наблюдение 23";506.5;"код";500.75;510.75;"НОРМА";"baseline_code=505.750000; current_code=506.500000; delta_code=0.750000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=23; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.24";"ЯЛК: -12 В на 34, наблюдение 24";512.25;"код";507.25;517.25;"НОРМА";"baseline_code=512.250000; current_code=512.250000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=24; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
