Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 35: исходное напряжение";"35";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 35: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 36: исходное напряжение";"36";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 36: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 37: исходное напряжение";"37";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 37: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 38: исходное напряжение";"38";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 38: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 39: исходное напряжение";"39";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 39: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 40: исходное напряжение";"40";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 40: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 41: исходное напряжение";"41";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 41: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 42: исходное напряжение";"42";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 42: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 43: исходное напряжение";"43";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 43: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 45: исходное напряжение";"45";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 45: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 46: исходное напряжение";"46";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 46: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 47: исходное напряжение";"47";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 47: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 48: исходное напряжение";"48";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 48: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 49: исходное напряжение";"49";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 49: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 50: исходное напряжение";"50";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 50: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 51: исходное напряжение";"51";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 51: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 52: исходное напряжение";"52";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 52: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 53: исходное напряжение";"53";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 53: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 54: исходное напряжение";"54";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 54: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 55: исходное напряжение";"55";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 55: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 56: исходное напряжение";"56";"";"1024.000000";"0.000000";"1";"";"";"";"";"";-0.031;0.031;"НЕ ОК";"Значение вне допуска"
"Исходное отключённое состояние 80 адресов ЯЛК";"1.1.4.1";"ЯЛК адрес 56: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"ОК";""
