Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_channels";"ubsi.yalk.channel.52.2";"ЯЛК адрес 52 · 6.200000 В";5.98015;"В";5.96652;6.02852;"OK";"absolute_error_v=0.017372; analog_code=894.687500; channel=48; channel_count=80; channel_index=48; command_v=6.200000; lower_limit_v=5.966521; point_count=3; point_index=3; raw=1918.687500; reduced_error_percent=0.280192; scan_order=channel_major; section=YALK; ulk_address=52; upper_limit_v=6.028521; v7_v=5.997521; yalk_v=5.980149"
"yalk_channels";"ubsi.yalk.channel.53.0";"ЯЛК адрес 53 · 0.000000 В";-0.0674599;"В";-0.100302;-0.0383023;"OK";"absolute_error_v=0.001842; analog_code=115.875000; channel=49; channel_count=80; channel_index=49; command_v=0.000000; lower_limit_v=-0.100302; point_count=3; point_index=1; raw=115.875000; reduced_error_percent=0.029717; scan_order=channel_major; section=YALK; ulk_address=53; upper_limit_v=-0.038302; v7_v=-0.069302; yalk_v=-0.067460"
"yalk_channels";"ubsi.yalk.channel.53.1";"ЯЛК адрес 53 · 3.100000 В";2.9726;"В";2.94439;3.00639;"OK";"absolute_error_v=0.002784; analog_code=507.375000; channel=49; channel_count=80; channel_index=49; command_v=3.100000; lower_limit_v=2.944387; point_count=3; point_index=2; raw=1531.375000; reduced_error_percent=0.044905; scan_order=channel_major; section=YALK; ulk_address=53; upper_limit_v=3.006387; v7_v=2.975387; yalk_v=2.972603"
"yalk_channels";"ubsi.yalk.channel.53.2";"ЯЛК адрес 53 · 6.200000 В";5.99859;"В";5.97997;6.04197;"OK";"absolute_error_v=0.012384; analog_code=897.062500; channel=49; channel_count=80; channel_index=49; command_v=6.200000; lower_limit_v=5.979975; point_count=3; point_index=3; raw=1921.062500; reduced_error_percent=0.199737; scan_order=channel_major; section=YALK; ulk_address=53; upper_limit_v=6.041975; v7_v=6.010975; yalk_v=5.998591"
"yalk_channels";"ubsi.yalk.channel.54.0";"ЯЛК адрес 54 · 0.000000 В";-0.061636;"В";-0.0872306;-0.0252306;"OK";"absolute_error_v=0.005405; analog_code=116.625000; channel=50; channel_count=80; channel_index=50; command_v=0.000000; lower_limit_v=-0.087231; point_count=3; point_index=1; raw=116.625000; reduced_error_percent=0.087185; scan_order=channel_major; section=YALK; ulk_address=54; upper_limit_v=-0.025231; v7_v=-0.056231; yalk_v=-0.061636"
"yalk_channels";"ubsi.yalk.channel.54.1";"ЯЛК адрес 54 · 3.100000 В";2.943;"В";2.91752;2.97952;"OK";"absolute_error_v=0.005522; analog_code=503.562500; channel=50; channel_count=80; channel_index=50; command_v=3.100000; lower_limit_v=2.917520; point_count=3; point_index=2; raw=1527.562500; reduced_error_percent=0.089059; scan_order=channel_major; section=YALK; ulk_address=54; upper_limit_v=2.979520; v7_v=2.948520; yalk_v=2.942998"
"yalk_channels";"ubsi.yalk.channel.54.2";"ЯЛК адрес 54 · 6.200000 В";5.94278;"В";5.9277;5.9897;"OK";"absolute_error_v=0.015918; analog_code=889.875000; channel=50; channel_count=80; channel_index=50; command_v=6.200000; lower_limit_v=5.927697; point_count=3; point_index=3; raw=1913.875000; reduced_error_percent=0.256743; scan_order=channel_major; section=YALK; ulk_address=54; upper_limit_v=5.989697; v7_v=5.958697; yalk_v=5.942779"
"yalk_channels";"ubsi.yalk.channel.55.0";"ЯЛК адрес 55 · 0.000000 В";0.0543562;"В";0.0174346;0.0794346;"OK";"absolute_error_v=0.005922; analog_code=131.562500; channel=51; channel_count=80; channel_index=51; command_v=0.000000; lower_limit_v=0.017435; point_count=3; point_index=1; raw=131.562500; reduced_error_percent=0.095509; scan_order=channel_major; section=YALK; ulk_address=55; upper_limit_v=0.079435; v7_v=0.048435; yalk_v=0.054356"
"yalk_channels";"ubsi.yalk.channel.55.1";"ЯЛК адрес 55 · 3.100000 В";3.07792;"В";3.05884;3.12084;"OK";"absolute_error_v=0.011923; analog_code=520.937500; channel=51; channel_count=80; channel_index=51; command_v=3.100000; lower_limit_v=3.058841; point_count=3; point_index=2; raw=1544.937500; reduced_error_percent=0.192314; scan_order=channel_major; section=YALK; ulk_address=55; upper_limit_v=3.120841; v7_v=3.089841; yalk_v=3.077918"
"yalk_channels";"ubsi.yalk.channel.55.2";"ЯЛК адрес 55 · 6.200000 В";6.11119;"В";6.0912;6.1532;"OK";"absolute_error_v=0.011017; analog_code=911.562500; channel=51; channel_count=80; channel_index=51; command_v=6.200000; lower_limit_v=6.091203; point_count=3; point_index=3; raw=1935.562500; reduced_error_percent=0.177693; scan_order=channel_major; section=YALK; ulk_address=55; upper_limit_v=6.153203; v7_v=6.122203; yalk_v=6.111186"
"yalk_channels";"ubsi.yalk.channel.56.0";"ЯЛК адрес 56 · 0.000000 В";-0.06018;"В";-0.0860017;-0.0240017;"OK";"absolute_error_v=0.005178; analog_code=116.812500; channel=52; channel_count=80; channel_index=52; command_v=0.000000; lower_limit_v=-0.086002; point_count=3; point_index=1; raw=116.812500; reduced_error_percent=0.083522; scan_order=channel_major; section=YALK; ulk_address=56; upper_limit_v=-0.024002; v7_v=-0.055002; yalk_v=-0.060180"
"yalk_channels";"ubsi.yalk.channel.56.1";"ЯЛК адрес 56 · 3.100000 В";2.95659;"В";2.93417;2.99617;"OK";"absolute_error_v=0.008584; analog_code=505.312500; channel=52; channel_count=80; channel_index=52; command_v=3.100000; lower_limit_v=2.934171; point_count=3; point_index=2; raw=1529.312500; reduced_error_percent=0.138448; scan_order=channel_major; section=YALK; ulk_address=56; upper_limit_v=2.996171; v7_v=2.965171; yalk_v=2.956587"
"yalk_channels";"ubsi.yalk.channel.56.2";"ЯЛК адрес 56 · 6.200000 В";5.9753;"В";5.96184;6.02384;"OK";"absolute_error_v=0.017546; analog_code=894.062500; channel=52; channel_count=80; channel_index=52; command_v=6.200000; lower_limit_v=5.961842; point_count=3; point_index=3; raw=1918.062500; reduced_error_percent=0.283002; scan_order=channel_major; section=YALK; ulk_address=56; upper_limit_v=6.023842; v7_v=5.992842; yalk_v=5.975295"
"yalk_channels";"ubsi.yalk.channel.57.0";"ЯЛК адрес 57 · 0.000000 В";-0.0417378;"В";-0.0720766;-0.0100766;"OK";"absolute_error_v=0.000661; analog_code=119.187500; channel=53; channel_count=80; channel_index=53; command_v=0.000000; lower_limit_v=-0.072077; point_count=3; point_index=1; raw=119.187500; reduced_error_percent=0.010664; scan_order=channel_major; section=YALK; ulk_address=57; upper_limit_v=-0.010077; v7_v=-0.041077; yalk_v=-0.041738"
"yalk_channels";"ubsi.yalk.channel.57.1";"ЯЛК адрес 57 · 3.100000 В";2.98862;"В";2.96222;3.02422;"OK";"absolute_error_v=0.004597; analog_code=509.437500; channel=53; channel_count=80; channel_index=53; command_v=3.100000; lower_limit_v=2.962215; point_count=3; point_index=2; raw=1533.437500; reduced_error_percent=0.074145; scan_order=channel_major; section=YALK; ulk_address=57; upper_limit_v=3.024215; v7_v=2.993215; yalk_v=2.988618"
"yalk_channels";"ubsi.yalk.channel.57.2";"ЯЛК адрес 57 · 6.200000 В";6.01461;"В";5.99542;6.05742;"OK";"absolute_error_v=0.011809; analog_code=899.125000; channel=53; channel_count=80; channel_index=53; command_v=6.200000; lower_limit_v=5.995415; point_count=3; point_index=3; raw=1923.125000; reduced_error_percent=0.190463; scan_order=channel_major; section=YALK; ulk_address=57; upper_limit_v=6.057415; v7_v=6.026415; yalk_v=6.014607"
"yalk_channels";"ubsi.yalk.channel.58.0";"ЯЛК адрес 58 · 0.000000 В";-0.0883288;"В";-0.127601;-0.065601;"OK";"absolute_error_v=0.008272; analog_code=113.187500; channel=54; channel_count=80; channel_index=54; command_v=0.000000; lower_limit_v=-0.127601; point_count=3; point_index=1; raw=113.187500; reduced_error_percent=0.133423; scan_order=channel_major; section=YALK; ulk_address=58; upper_limit_v=-0.065601; v7_v=-0.096601; yalk_v=-0.088329"
"yalk_channels";"ubsi.yalk.channel.58.1";"ЯЛК адрес 58 · 3.100000 В";2.93717;"В";2.91674;2.97874;"OK";"absolute_error_v=0.010566; analog_code=502.812500; channel=54; channel_count=80; channel_index=54; command_v=3.100000; lower_limit_v=2.916740; point_count=3; point_index=2; raw=1526.812500; reduced_error_percent=0.170414; scan_order=channel_major; section=YALK; ulk_address=58; upper_limit_v=2.978740; v7_v=2.947740; yalk_v=2.937174"
"yalk_channels";"ubsi.yalk.channel.58.2";"ЯЛК адрес 58 · 6.200000 В";5.9816;"В";5.96224;6.02424;"OK";"absolute_error_v=0.011632; analog_code=894.875000; channel=54; channel_count=80; channel_index=54; command_v=6.200000; lower_limit_v=5.962236; point_count=3; point_index=3; raw=1918.875000; reduced_error_percent=0.187609; scan_order=channel_major; section=YALK; ulk_address=58; upper_limit_v=6.024236; v7_v=5.993236; yalk_v=5.981605"
"yalk_channels";"ubsi.yalk.channel.59.0";"ЯЛК адрес 59 · 0.000000 В";-0.0475616;"В";-0.0798066;-0.0178066;"OK";"absolute_error_v=0.001245; analog_code=118.437500; channel=55; channel_count=80; channel_index=55; command_v=0.000000; lower_limit_v=-0.079807; point_count=3; point_index=1; raw=118.437500; reduced_error_percent=0.020081; scan_order=channel_major; section=YALK; ulk_address=59; upper_limit_v=-0.017807; v7_v=-0.048807; yalk_v=-0.047562"
"yalk_channels";"ubsi.yalk.channel.59.1";"ЯЛК адрес 59 · 3.100000 В";2.97357;"В";2.9471;3.0091;"OK";"absolute_error_v=0.004531; analog_code=507.500000; channel=55; channel_count=80; channel_index=55; command_v=3.100000; lower_limit_v=2.947105; point_count=3; point_index=2; raw=1531.500000; reduced_error_percent=0.073085; scan_order=channel_major; section=YALK; ulk_address=59; upper_limit_v=3.009105; v7_v=2.978105; yalk_v=2.973573"
"yalk_channels";"ubsi.yalk.channel.59.2";"ЯЛК адрес 59 · 6.200000 В";5.99714;"В";5.97961;6.04161;"OK";"absolute_error_v=0.013477; analog_code=896.875000; channel=55; channel_count=80; channel_index=55; command_v=6.200000; lower_limit_v=5.979612; point_count=3; point_index=3; raw=1920.875000; reduced_error_percent=0.217368; scan_order=channel_major; section=YALK; ulk_address=59; upper_limit_v=6.041612; v7_v=6.010612; yalk_v=5.997135"
"yalk_channels";"ubsi.yalk.channel.60.0";"ЯЛК адрес 60 · 0.000000 В";-0.0402818;"В";-0.0718799;-0.00987988;"OK";"absolute_error_v=0.000598; analog_code=119.375000; channel=56; channel_count=80; channel_index=56; command_v=0.000000; lower_limit_v=-0.071880; point_count=3; point_index=1; raw=119.375000; reduced_error_percent=0.009646; scan_order=channel_major; section=YALK; ulk_address=60; upper_limit_v=-0.009880; v7_v=-0.040880; yalk_v=-0.040282"
"yalk_channels";"ubsi.yalk.channel.60.1";"ЯЛК адрес 60 · 3.100000 В";2.97066;"В";2.94693;3.00893;"OK";"absolute_error_v=0.007268; analog_code=507.125000; channel=56; channel_count=80; channel_index=56; command_v=3.100000; lower_limit_v=2.946929; point_count=3; point_index=2; raw=1531.125000; reduced_error_percent=0.117218; scan_order=channel_major; section=YALK; ulk_address=60; upper_limit_v=3.008929; v7_v=2.977929; yalk_v=2.970661"
"yalk_channels";"ubsi.yalk.channel.60.2";"ЯЛК адрес 60 · 6.200000 В";5.98694;"В";5.97086;6.03286;"OK";"absolute_error_v=0.014919; analog_code=895.562500; channel=56; channel_count=80; channel_index=56; command_v=6.200000; lower_limit_v=5.970862; point_count=3; point_index=3; raw=1919.562500; reduced_error_percent=0.240631; scan_order=channel_major; section=YALK; ulk_address=60; upper_limit_v=6.032862; v7_v=6.001862; yalk_v=5.986943"
"yalk_channels";"ubsi.yalk.channel.61.0";"ЯЛК адрес 61 · 0.000000 В";-0.0247515;"В";-0.0536251;0.00837493;"OK";"absolute_error_v=0.002126; analog_code=121.375000; channel=57; channel_count=80; channel_index=57; command_v=0.000000; lower_limit_v=-0.053625; point_count=3; point_index=1; raw=121.375000; reduced_error_percent=0.034297; scan_order=channel_major; section=YALK; ulk_address=61; upper_limit_v=0.008375; v7_v=-0.022625; yalk_v=-0.024751"
"yalk_channels";"ubsi.yalk.channel.61.1";"ЯЛК адрес 61 · 3.100000 В";2.99541;"В";2.96866;3.03066;"OK";"absolute_error_v=0.004246; analog_code=510.312500; channel=57; channel_count=80; channel_index=57; command_v=3.100000; lower_limit_v=2.968659; point_count=3; point_index=2; raw=1534.312500; reduced_error_percent=0.068483; scan_order=channel_major; section=YALK; ulk_address=61; upper_limit_v=3.030659; v7_v=2.999659; yalk_v=2.995413"
"yalk_channels";"ubsi.yalk.channel.61.2";"ЯЛК адрес 61 · 6.200000 В";6.02286;"В";6.00619;6.06819;"OK";"absolute_error_v=0.014334; analog_code=900.187500; channel=57; channel_count=80; channel_index=57; command_v=6.200000; lower_limit_v=6.006191; point_count=3; point_index=3; raw=1924.187500; reduced_error_percent=0.231192; scan_order=channel_major; section=YALK; ulk_address=61; upper_limit_v=6.068191; v7_v=6.037191; yalk_v=6.022857"
"yalk_channels";"ubsi.yalk.channel.62.0";"ЯЛК адрес 62 · 0.000000 В";-0.0626067;"В";-0.093265;-0.031265;"OK";"absolute_error_v=0.000342; analog_code=116.500000; channel=58; channel_count=80; channel_index=58; command_v=0.000000; lower_limit_v=-0.093265; point_count=3; point_index=1; raw=116.500000; reduced_error_percent=0.005510; scan_order=channel_major; section=YALK; ulk_address=62; upper_limit_v=-0.031265; v7_v=-0.062265; yalk_v=-0.062607"
"yalk_channels";"ubsi.yalk.channel.62.1";"ЯЛК адрес 62 · 3.100000 В";2.97697;"В";2.94955;3.01155;"OK";"absolute_error_v=0.003578; analog_code=507.937500; channel=58; channel_count=80; channel_index=58; command_v=3.100000; lower_limit_v=2.949549; point_count=3; point_index=2; raw=1531.937500; reduced_error_percent=0.057712; scan_order=channel_major; section=YALK; ulk_address=62; upper_limit_v=3.011549; v7_v=2.980549; yalk_v=2.976971"
"yalk_channels";"ubsi.yalk.channel.62.2";"ЯЛК адрес 62 · 6.200000 В";6.018;"В";5.99803;6.06003;"OK";"absolute_error_v=0.011028; analog_code=899.562500; channel=58; channel_count=80; channel_index=58; command_v=6.200000; lower_limit_v=5.998032; point_count=3; point_index=3; raw=1923.562500; reduced_error_percent=0.177878; scan_order=channel_major; section=YALK; ulk_address=62; upper_limit_v=6.060032; v7_v=6.029032; yalk_v=6.018004"
"yalk_channels";"ubsi.yalk.channel.63.0";"ЯЛК адрес 63 · 0.000000 В";0.0378552;"В";0.00984714;0.0718471;"OK";"absolute_error_v=0.002992; analog_code=129.437500; channel=59; channel_count=80; channel_index=59; command_v=0.000000; lower_limit_v=0.009847; point_count=3; point_index=1; raw=129.437500; reduced_error_percent=0.048257; scan_order=channel_major; section=YALK; ulk_address=63; upper_limit_v=0.071847; v7_v=0.040847; yalk_v=0.037855"
"yalk_channels";"ubsi.yalk.channel.63.1";"ЯЛК адрес 63 · 3.100000 В";3.05802;"В";3.03729;3.09929;"OK";"absolute_error_v=0.010273; analog_code=518.375000; channel=59; channel_count=80; channel_index=59; command_v=3.100000; lower_limit_v=3.037292; point_count=3; point_index=2; raw=1542.375000; reduced_error_percent=0.165692; scan_order=channel_major; section=YALK; ulk_address=63; upper_limit_v=3.099292; v7_v=3.068292; yalk_v=3.058020"
"yalk_channels";"ubsi.yalk.channel.63.2";"ЯЛК адрес 63 · 6.200000 В";6.08061;"В";6.06787;6.12987;"OK";"absolute_error_v=0.018259; analog_code=907.625000; channel=59; channel_count=80; channel_index=59; command_v=6.200000; lower_limit_v=6.067870; point_count=3; point_index=3; raw=1931.625000; reduced_error_percent=0.294503; scan_order=channel_major; section=YALK; ulk_address=63; upper_limit_v=6.129870; v7_v=6.098870; yalk_v=6.080611"
"yalk_channels";"ubsi.yalk.channel.64.0";"ЯЛК адрес 64 · 0.000000 В";-0.107256;"В";-0.141077;-0.079077;"OK";"absolute_error_v=0.002821; analog_code=110.750000; channel=60; channel_count=80; channel_index=60; command_v=0.000000; lower_limit_v=-0.141077; point_count=3; point_index=1; raw=110.750000; reduced_error_percent=0.045494; scan_order=channel_major; section=YALK; ulk_address=64; upper_limit_v=-0.079077; v7_v=-0.110077; yalk_v=-0.107256"
"yalk_channels";"ubsi.yalk.channel.64.1";"ЯЛК адрес 64 · 3.100000 В";2.90029;"В";2.88282;2.94482;"OK";"absolute_error_v=0.013526; analog_code=498.062500; channel=60; channel_count=80; channel_index=60; command_v=3.100000; lower_limit_v=2.882816; point_count=3; point_index=2; raw=1522.062500; reduced_error_percent=0.218167; scan_order=channel_major; section=YALK; ulk_address=64; upper_limit_v=2.944816; v7_v=2.913816; yalk_v=2.900290"
"yalk_channels";"ubsi.yalk.channel.64.2";"ЯЛК адрес 64 · 6.200000 В";5.93259;"В";5.91999;5.98199;"OK";"absolute_error_v=0.018406; analog_code=888.562500; channel=60; channel_count=80; channel_index=60; command_v=6.200000; lower_limit_v=5.919993; point_count=3; point_index=3; raw=1912.562500; reduced_error_percent=0.296864; scan_order=channel_major; section=YALK; ulk_address=64; upper_limit_v=5.981993; v7_v=5.950993; yalk_v=5.932587"
"yalk_channels";"ubsi.yalk.channel.65.0";"ЯЛК адрес 65 · 0.000000 В";-0.0771663;"В";-0.107458;-0.0454581;"OK";"absolute_error_v=0.000708; analog_code=114.625000; channel=61; channel_count=80; channel_index=61; command_v=0.000000; lower_limit_v=-0.107458; point_count=3; point_index=1; raw=114.625000; reduced_error_percent=0.011424; scan_order=channel_major; section=YALK; ulk_address=65; upper_limit_v=-0.045458; v7_v=-0.076458; yalk_v=-0.077166"
"yalk_channels";"ubsi.yalk.channel.65.1";"ЯЛК адрес 65 · 3.100000 В";2.96532;"В";2.94665;3.00865;"OK";"absolute_error_v=0.012326; analog_code=506.437500; channel=61; channel_count=80; channel_index=61; command_v=3.100000; lower_limit_v=2.946649; point_count=3; point_index=2; raw=1530.437500; reduced_error_percent=0.198813; scan_order=channel_major; section=YALK; ulk_address=65; upper_limit_v=3.008649; v7_v=2.977649; yalk_v=2.965323"
"yalk_channels";"ubsi.yalk.channel.65.2";"ЯЛК адрес 65 · 6.200000 В";6.03402;"В";6.00895;6.07095;"OK";"absolute_error_v=0.005935; analog_code=901.625000; channel=61; channel_count=80; channel_index=61; command_v=6.200000; lower_limit_v=6.008955; point_count=3; point_index=3; raw=1925.625000; reduced_error_percent=0.095726; scan_order=channel_major; section=YALK; ulk_address=65; upper_limit_v=6.070955; v7_v=6.039955; yalk_v=6.034020"
"yalk_channels";"ubsi.yalk.channel.66.0";"ЯЛК адрес 66 · 0.000000 В";-0.0698865;"В";-0.0957847;-0.0337847;"OK";"absolute_error_v=0.005102; analog_code=115.562500; channel=62; channel_count=80; channel_index=62; command_v=0.000000; lower_limit_v=-0.095785; point_count=3; point_index=1; raw=115.562500; reduced_error_percent=0.082287; scan_order=channel_major; section=YALK; ulk_address=66; upper_limit_v=-0.033785; v7_v=-0.064785; yalk_v=-0.069886"
"yalk_channels";"ubsi.yalk.channel.66.1";"ЯЛК адрес 66 · 3.100000 В";2.96338;"В";2.93633;2.99833;"OK";"absolute_error_v=0.003946; analog_code=506.187500; channel=62; channel_count=80; channel_index=62; command_v=3.100000; lower_limit_v=2.936328; point_count=3; point_index=2; raw=1530.187500; reduced_error_percent=0.063652; scan_order=channel_major; section=YALK; ulk_address=66; upper_limit_v=2.998328; v7_v=2.967328; yalk_v=2.963382"
"yalk_channels";"ubsi.yalk.channel.66.2";"ЯЛК адрес 66 · 6.200000 В";5.985;"В";5.97295;6.03495;"OK";"absolute_error_v=0.018947; analog_code=895.312500; channel=62; channel_count=80; channel_index=62; command_v=6.200000; lower_limit_v=5.972949; point_count=3; point_index=3; raw=1919.312500; reduced_error_percent=0.305605; scan_order=channel_major; section=YALK; ulk_address=66; upper_limit_v=6.034949; v7_v=6.003949; yalk_v=5.985002"
"yalk_channels";"ubsi.yalk.channel.67.0";"ЯЛК адрес 67 · 0.000000 В";-0.0310607;"В";-0.0506238;0.0113762;"OK";"absolute_error_v=0.011437; analog_code=120.562500; channel=63; channel_count=80; channel_index=63; command_v=0.000000; lower_limit_v=-0.050624; point_count=3; point_index=1; raw=120.562500; reduced_error_percent=0.184465; scan_order=channel_major; section=YALK; ulk_address=67; upper_limit_v=0.011376; v7_v=-0.019624; yalk_v=-0.031061"
"yalk_channels";"ubsi.yalk.channel.67.1";"ЯЛК адрес 67 · 3.100000 В";2.99832;"В";2.97887;3.04087;"OK";"absolute_error_v=0.011549; analog_code=510.687500; channel=63; channel_count=80; channel_index=63; command_v=3.100000; lower_limit_v=2.978874; point_count=3; point_index=2; raw=1534.687500; reduced_error_percent=0.186275; scan_order=channel_major; section=YALK; ulk_address=67; upper_limit_v=3.040874; v7_v=3.009874; yalk_v=2.998325"
"yalk_channels";"ubsi.yalk.channel.67.2";"ЯЛК адрес 67 · 6.200000 В";6.0214;"В";6.00441;6.06641;"OK";"absolute_error_v=0.014008; analog_code=900.000000; channel=63; channel_count=80; channel_index=63; command_v=6.200000; lower_limit_v=6.004409; point_count=3; point_index=3; raw=1924.000000; reduced_error_percent=0.225937; scan_order=channel_major; section=YALK; ulk_address=67; upper_limit_v=6.066409; v7_v=6.035409; yalk_v=6.021401"
"yalk_channels";"ubsi.yalk.channel.68.0";"ЯЛК адрес 68 · 0.000000 В";-0.0689159;"В";-0.111918;-0.0499181;"OK";"absolute_error_v=0.012002; analog_code=115.687500; channel=64; channel_count=80; channel_index=64; command_v=0.000000; lower_limit_v=-0.111918; point_count=3; point_index=1; raw=115.687500; reduced_error_percent=0.193584; scan_order=channel_major; section=YALK; ulk_address=68; upper_limit_v=-0.049918; v7_v=-0.080918; yalk_v=-0.068916"
"yalk_channels";"ubsi.yalk.channel.68.1";"ЯЛК адрес 68 · 3.100000 В";2.93572;"В";2.90972;2.97172;"OK";"absolute_error_v=0.004998; analog_code=502.625000; channel=64; channel_count=80; channel_index=64; command_v=3.100000; lower_limit_v=2.909716; point_count=3; point_index=2; raw=1526.625000; reduced_error_percent=0.080617; scan_order=channel_major; section=YALK; ulk_address=68; upper_limit_v=2.971716; v7_v=2.940716; yalk_v=2.935718"
"yalk_channels";"ubsi.yalk.channel.68.2";"ЯЛК адрес 68 · 6.200000 В";5.9651;"В";5.93951;6.00151;"OK";"absolute_error_v=0.005406; analog_code=892.750000; channel=64; channel_count=80; channel_index=64; command_v=6.200000; lower_limit_v=5.939510; point_count=3; point_index=3; raw=1916.750000; reduced_error_percent=0.087199; scan_order=channel_major; section=YALK; ulk_address=68; upper_limit_v=6.001510; v7_v=5.970510; yalk_v=5.965104"
"yalk_channels";"ubsi.yalk.channel.69.0";"ЯЛК адрес 69 · 0.000000 В";-0.0776517;"В";-0.102165;-0.0401651;"OK";"absolute_error_v=0.006487; analog_code=114.562500; channel=65; channel_count=80; channel_index=65; command_v=0.000000; lower_limit_v=-0.102165; point_count=3; point_index=1; raw=114.562500; reduced_error_percent=0.104622; scan_order=channel_major; section=YALK; ulk_address=69; upper_limit_v=-0.040165; v7_v=-0.071165; yalk_v=-0.077652"
"yalk_channels";"ubsi.yalk.channel.69.1";"ЯЛК адрес 69 · 3.100000 В";2.95804;"В";2.92877;2.99077;"OK";"absolute_error_v=0.001728; analog_code=505.500000; channel=65; channel_count=80; channel_index=65; command_v=3.100000; lower_limit_v=2.928772; point_count=3; point_index=2; raw=1529.500000; reduced_error_percent=0.027879; scan_order=channel_major; section=YALK; ulk_address=69; upper_limit_v=2.990772; v7_v=2.959772; yalk_v=2.958043"
